iter	Passed	Remaining
0	1	125
1	2	105
2	3	98
3	3	90
4	4	89
5	5	87
6	6	85
7	7	84
8	8	83
9	9	81
10	10	81
11	11	81
12	12	80
13	12	79
14	13	77
15	14	76
16	15	76
17	16	75
18	17	74
19	18	74
20	19	74
21	21	74
22	22	74
23	23	73
24	24	72
25	25	71
26	26	70
27	26	69
28	27	68
29	28	66
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	48
48	46	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	36
61	57	35
62	58	34
63	58	33
64	59	32
65	60	31
66	61	30
67	63	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	70	22
76	71	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	89	1
98	91	0
99	92	0
