iter	Passed	Remaining
0	142	142530
1	143	71763
2	144	48168
3	146	36393
4	147	29343
5	148	24635
6	150	21302
7	151	18771
8	152	16814
9	153	15223
10	154	13921
11	155	12838
12	157	11931
13	158	11153
14	159	10473
15	160	9877
16	161	9362
17	163	8899
18	164	8487
19	165	8124
20	166	7783
21	168	7478
22	169	7204
23	170	6949
24	172	6714
25	173	6495
26	174	6291
27	175	6107
28	177	5936
29	178	5776
30	179	5625
31	181	5481
32	182	5356
33	183	5226
34	185	5106
35	186	4997
36	187	4889
37	189	4791
38	190	4698
39	192	4608
40	193	4522
41	194	4438
42	195	4359
43	196	4279
44	198	4205
45	199	4135
46	200	4064
47	201	4002
48	203	3940
49	204	3880
50	205	3827
51	207	3775
52	208	3722
53	209	3670
54	210	3621
55	211	3573
56	213	3527
57	214	3483
58	215	3441
59	216	3399
60	218	3356
61	219	3320
62	220	3283
63	222	3247
64	223	3211
65	224	3177
66	225	3144
67	227	3112
68	228	3082
69	229	3051
70	230	3021
71	232	2991
72	233	2963
73	234	2938
74	236	2913
75	237	2889
76	238	2864
77	240	2838
78	241	2814
79	242	2791
80	243	2766
81	245	2744
82	245	2714
83	246	2692
84	248	2671
85	249	2651
86	250	2632
87	252	2612
88	253	2594
89	254	2574
90	255	2555
91	257	2538
92	258	2518
93	259	2500
94	260	2482
95	261	2464
96	262	2447
97	264	2432
98	265	2417
99	266	2400
100	267	2385
101	269	2369
102	270	2355
103	271	2342
104	273	2328
105	274	2314
106	275	2301
107	276	2286
108	278	2273
109	279	2260
110	280	2248
111	282	2236
112	283	2224
113	284	2211
114	285	2200
115	287	2187
116	288	2174
117	289	2163
118	290	2152
119	291	2140
120	293	2128
121	294	2117
122	295	2107
123	296	2097
124	298	2088
125	299	2077
126	300	2065
127	301	2054
128	302	2044
129	304	2034
130	305	2024
131	306	2014
132	307	2003
133	308	1994
134	309	1985
135	311	1976
136	312	1966
137	313	1960
138	315	1951
139	316	1942
140	317	1934
141	318	1923
142	319	1915
143	320	1907
144	322	1898
145	323	1890
146	324	1883
147	325	1875
148	327	1867
149	328	1860
150	329	1851
151	330	1843
152	331	1835
153	332	1828
154	334	1821
155	335	1813
156	336	1806
157	337	1798
158	339	1793
159	340	1786
160	341	1778
161	342	1771
162	343	1766
163	345	1759
164	346	1752
165	347	1746
166	348	1739
167	350	1733
168	351	1727
169	352	1721
170	353	1715
171	355	1710
172	356	1705
173	357	1699
174	359	1693
175	360	1688
176	361	1681
177	362	1676
178	364	1669
179	365	1663
180	366	1657
181	367	1652
182	368	1646
183	370	1641
184	371	1636
185	372	1630
186	373	1624
187	374	1619
188	375	1613
189	377	1607
190	378	1602
191	379	1597
192	380	1592
193	382	1587
194	383	1582
195	384	1577
196	385	1572
197	387	1567
198	388	1562
199	389	1557
200	390	1552
201	391	1547
202	392	1541
203	393	1537
204	395	1532
205	396	1527
206	397	1522
207	398	1518
208	400	1515
209	401	1511
210	402	1506
211	404	1502
212	405	1498
213	406	1493
214	407	1488
215	409	1484
216	410	1480
217	411	1475
218	412	1471
219	413	1466
220	415	1463
221	416	1459
222	417	1454
223	418	1450
224	419	1445
225	420	1441
226	422	1437
227	423	1432
228	424	1428
229	425	1424
230	426	1420
231	427	1416
232	429	1413
233	430	1409
234	431	1406
235	433	1402
236	434	1398
237	435	1394
238	436	1390
239	437	1386
240	439	1382
241	440	1378
242	441	1375
243	442	1371
244	444	1369
245	445	1365
246	446	1361
247	447	1358
248	449	1354
249	450	1350
250	451	1346
251	452	1343
252	453	1340
253	455	1337
254	456	1333
255	458	1331
256	459	1328
257	460	1325
258	462	1323
259	463	1319
260	465	1317
261	466	1314
262	467	1311
263	469	1308
264	470	1304
265	471	1301
266	472	1298
267	474	1295
268	475	1292
269	476	1289
270	478	1286
271	479	1283
272	480	1280
273	482	1278
274	483	1275
275	485	1272
276	486	1269
277	487	1267
278	489	1264
279	491	1262
280	492	1260
281	493	1257
282	495	1254
283	496	1251
284	497	1248
285	499	1245
286	500	1242
287	501	1239
288	502	1235
289	503	1233
290	505	1230
291	506	1228
292	508	1226
293	509	1223
294	510	1220
295	511	1217
296	512	1214
297	514	1211
298	515	1208
299	516	1205
300	517	1202
301	519	1200
302	520	1197
303	522	1195
304	523	1193
305	524	1190
306	525	1187
307	526	1183
308	528	1181
309	529	1178
310	530	1175
311	531	1171
312	532	1169
313	533	1166
314	535	1164
315	536	1162
316	538	1159
317	539	1156
318	540	1153
319	541	1150
320	542	1148
321	543	1145
322	545	1142
323	546	1139
324	547	1136
325	548	1133
326	549	1131
327	550	1128
328	552	1126
329	553	1124
330	554	1121
331	556	1119
332	557	1116
333	558	1113
334	559	1111
335	560	1108
336	562	1105
337	563	1102
338	564	1100
339	565	1098
340	567	1096
341	568	1093
342	569	1090
343	570	1088
344	572	1086
345	573	1083
346	574	1081
347	575	1078
348	576	1075
349	577	1073
350	579	1070
351	580	1068
352	582	1066
353	583	1064
354	584	1062
355	585	1059
356	587	1057
357	588	1055
358	589	1052
359	590	1050
360	591	1047
361	593	1045
362	594	1043
363	595	1041
364	597	1039
365	598	1036
366	599	1034
367	600	1031
368	601	1029
369	603	1026
370	604	1024
371	605	1022
372	606	1019
373	607	1017
374	609	1015
375	610	1012
376	611	1010
377	612	1008
378	614	1006
379	615	1003
380	616	1001
381	617	999
382	618	996
383	619	994
384	620	991
385	622	989
386	623	987
387	624	985
388	625	983
389	627	981
390	628	978
391	629	976
392	630	974
393	631	972
394	633	969
395	634	967
396	635	965
397	636	962
398	637	960
399	638	958
400	640	956
401	641	954
402	642	952
403	643	949
404	645	947
405	646	945
406	647	943
407	648	941
408	649	938
409	650	936
410	652	934
411	653	932
412	654	930
413	656	928
414	657	926
415	658	924
416	659	922
417	661	920
418	662	918
419	663	915
420	664	913
421	665	911
422	666	909
423	667	907
424	669	905
425	670	903
426	671	901
427	672	899
428	673	897
429	675	894
430	676	892
431	677	890
432	678	888
433	679	886
434	681	884
435	682	882
436	683	880
437	684	878
438	686	876
439	687	874
440	688	872
441	689	870
442	690	868
443	692	866
444	693	864
445	694	862
446	695	860
447	696	858
448	698	856
449	699	854
450	700	852
451	701	850
452	702	848
453	704	846
454	705	845
455	706	843
456	708	841
457	709	839
458	710	837
459	711	835
460	713	833
461	714	832
462	715	830
463	716	828
464	718	826
465	719	824
466	720	822
467	722	820
468	723	818
469	724	816
470	725	814
471	726	812
472	727	810
473	729	809
474	730	807
475	731	805
476	733	803
477	734	801
478	735	800
479	736	798
480	737	796
481	739	794
482	740	792
483	741	790
484	742	788
485	743	786
486	745	785
487	746	783
488	747	781
489	749	779
490	750	777
491	751	776
492	752	774
493	754	772
494	755	770
495	756	768
496	757	766
497	758	764
498	760	763
499	761	761
500	762	759
501	764	758
502	765	756
503	766	754
504	768	752
505	769	751
506	770	749
507	771	747
508	773	745
509	774	744
510	775	742
511	776	740
512	778	738
513	779	736
514	780	735
515	781	733
516	782	731
517	784	729
518	785	727
519	786	725
520	787	724
521	788	722
522	790	720
523	791	718
524	792	717
525	793	715
526	795	713
527	796	711
528	797	709
529	798	708
530	799	706
531	800	704
532	802	702
533	803	700
534	804	699
535	805	697
536	807	696
537	808	694
538	809	692
539	810	690
540	812	689
541	813	687
542	814	685
543	815	683
544	816	682
545	818	680
546	819	678
547	820	677
548	822	675
549	823	673
550	824	672
551	826	670
552	827	668
553	828	666
554	829	665
555	830	663
556	832	661
557	833	659
558	834	658
559	835	656
560	837	655
561	838	653
562	839	651
563	840	650
564	842	648
565	843	646
566	844	645
567	845	643
568	846	641
569	848	639
570	849	638
571	850	636
572	852	635
573	853	633
574	854	631
575	856	630
576	857	628
577	858	626
578	859	625
579	860	623
580	862	621
581	863	620
582	864	618
583	866	616
584	867	615
585	868	613
586	869	612
587	871	610
588	872	608
589	873	606
590	874	605
591	875	603
592	876	601
593	877	599
594	878	598
595	880	596
596	881	594
597	882	593
598	883	591
599	884	589
600	886	588
601	887	586
602	888	584
603	889	583
604	890	581
605	891	579
606	893	578
607	894	576
608	895	575
609	897	573
610	898	572
611	899	570
612	900	568
613	902	567
614	903	565
615	904	563
616	905	562
617	906	560
618	908	558
619	909	557
620	911	556
621	912	554
622	913	552
623	914	551
624	916	549
625	917	548
626	918	546
627	919	544
628	921	543
629	922	541
630	923	539
631	924	538
632	926	537
633	927	535
634	928	533
635	929	532
636	931	530
637	932	528
638	933	527
639	934	525
640	935	524
641	937	522
642	938	521
643	939	519
644	941	518
645	942	516
646	944	515
647	945	513
648	946	512
649	948	510
650	949	509
651	951	507
652	952	506
653	953	504
654	955	503
655	956	501
656	958	500
657	959	498
658	960	497
659	962	495
660	963	494
661	964	492
662	965	490
663	967	489
664	968	487
665	969	486
666	971	484
667	972	483
668	973	481
669	975	480
670	976	478
671	977	477
672	978	475
673	980	474
674	981	472
675	982	470
676	983	469
677	984	467
678	986	466
679	987	464
680	988	463
681	990	461
682	991	460
683	992	458
684	993	456
685	994	455
686	995	453
687	996	452
688	998	450
689	999	448
690	1000	447
691	1001	445
692	1003	444
693	1004	442
694	1005	441
695	1006	439
696	1007	438
697	1008	436
698	1009	434
699	1011	433
700	1012	431
701	1013	430
702	1015	428
703	1016	427
704	1017	425
705	1018	424
706	1020	422
707	1021	421
708	1022	419
709	1024	418
710	1025	416
711	1026	415
712	1027	413
713	1028	412
714	1029	410
715	1031	408
716	1032	407
